,Unnamed: 0,word,pictogram_id,synset,word_senses,
0,0,pavement,2247,04215402-n,pavement%1:06:01::,
1,1,sidewalk,2247,04215402-n,sidewalk%1:06:00::,
4,4,carpet,2249,04118021-n,carpet%1:06:00::,
5,5,rug,2249,04118021-n,rug%1:06:00::,
6,6,pillow,2250,03938244-n,pillow%1:06:00::,
14,14,oil,2246,07674508-n,olive_oil%1:13:00::,
29,29,dish aerial,2253,03207305-n,dish%1:06:01::,
30,30,spider,2254,01772222-n,spider%1:05:00::,
45,45,airliner,2264,02690373-n,airliner%1:06:00::,
49,49,sugar bowl,2266,04350581-n,sugar_bowl%1:06:00::,
55,55,greatcoat,2242,03456665-n,greatcoat%1:06:00::,
58,58,greatcoat,2242,04187970-n,sheepskin_coat%1:06:00::,
68,68,tub,2272,02808440-n,tub%1:06:01::,
72,72,electric mixer,2274,03272940-n,electric_mixer%1:06:00::,
80,80,bikini,2279,02837789-n,bikini%1:06:00::,
84,84,ballpen,2282,02783161-n,ballpoint%1:06:00::,
87,87,bowling,2283,00462804-n,lawn_bowling%1:04:00::,
93,93,bulb,2285,03665924-n,bulb%1:06:00::,
94,94,electric light,2285,03665924-n,electric_light%1:06:00::,
95,95,bidet,2278,02836174-n,bidet%1:06:00::,
97,97,soccer ball,2269,04254680-n,soccer_ball%1:06:00::,
103,103,gum boots,2287,04116294-n,rubber_boot%1:06:00::,
108,108,knickers,2289,03885028-n,pantie%1:06:00::,
112,112,ass,2291,02389559-n,domestic_ass%1:05:00::,
114,114,ass,2291,02389346-n,ass%1:05:00::,
115,115,scarf,2290,04143897-n,scarf%1:06:00::,
119,119,whale,2268,02062744-n,whale%1:05:00::,
123,123,boulevard,2299,04335209-n,street%1:06:01::,
126,126,boulevard,2299,04334599-n,street%1:06:00::,
129,129,boulevard,2299,02763472-n,boulevard%1:06:00::,
130,130,bib,2267,02834295-n,bib%1:06:00::,
132,132,underpants,2303,04508489-n,underpants%1:06:00::,
139,139,route,2302,04097527-n,road_surface%1:06:00::,
142,142,toy truck,2307,03769235-n,miniature%1:06:01::,
144,144,toy truck,2307,04462102-n,toy%1:06:02::,
148,148,vest,2310,04223299-n,singlet%1:06:00::,
150,150,shirt,2308,03238879-n,dress_shirt%1:06:00::,
152,152,nightie,2311,03824381-n,nightie%1:06:00::,
153,153,nightgown,2311,03824381-n,nightgown%1:06:00::,
170,170,domestic goat,2295,02416880-n,billy%1:05:00::,
173,173,domestic goat,2295,02417534-n,wild_goat%1:05:00::,
176,176,domestic goat,2295,02417070-n,domestic_goat%1:05:00::,
184,184,wallaby,2313,01877134-n,kangaroo%1:05:00::,
186,186,wallaby,2313,01877812-n,wallaby%1:05:00::,
187,187,zebra,2324,02391049-n,zebra%1:05:00::,
195,195,cereal bowl,2328,02998003-n,cereal_box%1:06:00::,
198,198,cereal bowl,2328,02997910-n,cereal_bowl%1:06:00::,
202,202,cherries,2329,07757312-n,sweet_cherry%1:13:00::,
206,206,beer glass,2330,02823750-n,beer_glass%1:06:00::,
210,210,mushrooms,2331,13001529-n,meadow_mushroom%1:20:00::,
213,213,crab,2312,07787980-n,blue_crab%1:13:00::,
214,214,crab,2312,01978930-n,swimming_crab%1:05:00::,
226,226,Coke,2338,07928696-n,coca_cola%1:13:00::,
229,229,Coke,2338,07927931-n,cola%1:13:00::,
234,234,soup ladle,2320,04263336-n,soup_ladle%1:06:00::,
237,237,gas cooker,2341,04330340-n,stove%1:06:01::,
240,240,gas cooker,2341,03425595-n,gas_range%1:06:00::,
246,246,compact disc,2322,03079230-n,compact_disk%1:06:00::,
247,247,onion,2323,12433081-n,onion%1:20:02::,
248,248,onion,2323,07722217-n,onion%1:13:00::,
249,249,crocodile,2343,01697178-n,crocodile%1:05:00::,
259,259,swan,2337,01858441-n,swan%1:05:00::,
260,260,kite,2350,03621473-n,kite%1:06:00::,
265,265,rabbit,2351,02324045-n,rabbit%1:05:00::,
279,279,space rocket,2344,04265904-n,space_rocket%1:06:00::,
281,281,space rocket,2344,04099429-n,rocket%1:06:01::,
288,288,croissant,2358,07691650-n,crescent_roll%1:13:00::,
298,298,apron,2366,02730930-n,apron%1:06:00::,
306,306,necklace,2347,03024882-n,choker%1:06:01::,
314,314,colorise,2348,01696648-v,color%2:36:01::,
318,318,colorise,2348,00283911-v,color%2:30:00::,
339,339,elephant,2372,02503517-n,elephant%1:05:00::,
345,345,ladle,2363,03633091-n,ladle%1:06:00::,
369,369,asparagus,2384,12441183-n,asparagus%1:20:00::,
374,374,shelves,2386,04190052-n,shelf%1:06:00::,
378,378,electric heater,2389,04330267-n,stove%1:06:00::,
380,380,electric heater,2389,03272239-n,electric_heater%1:06:00::,
382,382,digger,2390,03996416-n,power_shovel%1:06:00::,
383,383,skirt,2391,04231272-n,skirt%1:06:01::,
384,384,skirt,2391,04230808-n,skirt%1:06:00::,
385,385,skirt,2391,03429003-n,gathered_skirt%1:06:00::,
414,414,figurine,2394,03336459-n,figurine%1:06:00::,
419,419,seal,2397,02076196-n,seal%1:05:00::,
430,430,kitchen sink,2399,03620889-n,kitchen_sink%1:06:00::,
431,431,strawberry,2400,07745940-n,strawberry%1:13:00::,
435,435,vertical flute,2396,03343354-n,fipple_flute%1:06:00::,
448,448,hot-air balloon,2407,02782093-n,balloon%1:06:00::,
450,450,hot-air balloon,2407,03541923-n,hot-air_balloon%1:06:00::,
453,453,pencil eraser,2409,04116512-n,rubber_eraser%1:06:00::,
460,460,gorilla,2410,02480855-n,gorilla%1:05:00::,
461,461,hen,2403,01792640-n,hen%1:05:01::,
463,463,ski cap,2412,04228693-n,ski_cap%1:06:00::,
475,475,guitar,2417,02676566-n,acoustic_guitar%1:06:00::,
478,478,hippo,2424,02398521-n,hippopotamus%1:05:00::,
479,479,ant,2425,02219486-n,ant%1:05:00::,
488,488,infusion,2429,13500023-n,infusion%1:22:00::,
489,489,infusion,2429,14848785-n,infusion%1:27:00::,
494,494,garden,2434,03417749-n,garden%1:06:01::,
